method,seed,intent_id,intent_name,feature_id,test_intent_support,active_test_ids,top_k_observed,top20_intent_purity,top20_locale_entropy,cross_locale_stability,heldout_auc,validation_auc,validation_stability,top_ids
BatchTopK SAE,20260829,38,datetime_convert,1942,15,86,20,0.25,0.8812908992306927,0.6945915802518567,0.657478270685179,1.0,0.9194001519437717,944|5332|5333|10125|5497|4845|1803|14787|14822|1120|15055|13639|13761|1710|12957|14074|5016|8426|14179|15032
BatchTopK SAE,20260829,39,qa_maths,6653,25,34,20,0.6,0.7219280948873623,0.5106269963489659,0.798097179748556,0.7495748299319729,0.8291545004803371,13460|14223|13172|13552|13040|13459|13035|14615|13370|13412|13122|13310|13547|6789|2396|5321|14549|3207|8100|1124
BatchTopK SAE,20260829,40,iot_hue_lightoff,1508,43,222,20,0.7,0.0,0.39418094859641584,0.9930033790498907,0.9901202749140894,0.8145562005582919,914|3098|2711|2774|4992|2690|6041|999|3326|4346|651|3993|730|3774|4171|2230|428|5157|2566|4026
BatchTopK SAE,20260829,41,iot_hue_lighton,8919,3,11,11,0.0,0.8453509366224364,-0.0014713033411350059,0.4981450252951096,0.49830220713073003,-0.0029446662952707582,14382|12951|12294|10956|486|31|5160|2208|12264|4136|13867
BatchTopK SAE,20260829,42,transport_query,1153,51,111,20,0.55,0.6098403047164004,0.3714300094434397,0.705263936222415,0.7435456110154905,0.7709909527987706,14457|12693|6403|12437|12856|14179|12759|13215|12473|12532|13774|14792|12240|12419|12817|14585|14214|3539|1510|12789
BatchTopK SAE,20260829,43,music_likeness,1590,36,85,20,0.4,0.9927744539878083,0.15791793661900216,0.6838619827194179,0.7431623931623932,0.4347374619408898,150|3030|4671|4086|4998|3029|3178|9871|9541|15113|5199|9562|931|3915|11778|6582|11470|10709|2400|8631
BatchTopK SAE,20260829,44,email_query,7093,119,253,20,0.7,0.9709505944546686,0.7080721265837241,0.9545292318401563,0.9551798174986581,0.8430910631002388,16459|17069|15968|15942|16170|15785|16914|16791|16506|16052|15998|16373|16814|17051|17116|16781|16593|16263|16987|16924
BatchTopK SAE,20260829,45,play_music,1030,176,462,20,0.3,0.934068055375491,0.75034512615053,0.9374216511461319,0.9200329144225016,0.8016019497986897,1807|2387|5261|3433|379|2093|5401|1677|1872|4428|5531|3912|4086|8672|1047|5250|3264|2365|827|761
BatchTopK SAE,20260829,46,audio_volume_mute,3190,32,97,20,0.75,0.934068055375491,0.4014061500943133,0.8696355585831063,0.874322203196347,0.8970395413626939,2205|2795|189|608|3582|5813|5525|3812|12104|2206|6166|3837|11427|3460|315|4854|3581|4653|2207|13346
BatchTopK SAE,20260829,47,social_post,4693,81,128,20,0.95,0.6098403047164004,0.636753686202574,0.838554696019192,0.7010697952961673,0.778458726777239,15271|15177|15556|15231|15337|15557|6500|15459|15208|15503|15706|15275|15723|15661|15166|15670|15707|15647|15560|15197
BatchTopK SAE,20260829,48,alarm_set,7636,41,146,20,0.3,0.0,0.7010825504524797,0.9370036747856374,0.9679894802951798,0.9014546836552411,1509|174|5365|1862|862|1635|4121|5006|3870|612|1454|1774|940|5082|1646|2168|4851|4921|939|63
BatchTopK SAE,20260829,49,qa_factoid,949,141,27,20,0.9,0.7219280948873623,0.5009190875010863,0.5771925731359459,0.5742113095238095,0.24355339994402095,14567|13798|14884|13580|13974|14417|15095|14317|14306|12972|14368|14096|14118|13853|14653|14150|14038|13869|13383|14382
BatchTopK SAE,20260829,50,calendar_set,8826,209,245,20,0.7,0.0,0.4170353855026541,0.6880119175000998,0.6804034090909091,0.5856099194233181,6789|16944|8414|7039|7559|7808|12261|6974|9095|7057|6744|8825|8882|7843|6878|7596|7055|8056|8004|12127
BatchTopK SAE,20260829,51,play_game,460,35,52,20,0.9,0.6098403047164004,0.580608921106716,0.8410062831815304,0.9367482817869416,0.7580890505351282,10288|10247|10292|10350|10268|10317|10346|10357|10321|10260|10333|10365|10338|10276|10339|10319|10285|10296|14701|5529
BatchTopK SAE,20260829,52,alarm_remove,2077,21,17,17,0.0,0.9774178175281716,-0.0027980720076459112,0.497115710892433,0.7039098173515982,-0.006879035295849488,14644|3993|16938|10323|14564|14925|12409|3812|5525|14475|14526|15765|12293|13684|15056|3727|14116
BatchTopK SAE,20260829,53,lists_remove,7729,52,37,20,0.5,0.9709505944546686,0.12313545506469596,0.6019507755618866,0.6037123254104385,-0.006644560522310636,10808|10590|10430|10970|10895|3435|11124|11026|10608|399|10444|14668|10743|11162|10790|7892|8888|11502|16589|10508
BatchTopK SAE,20260829,54,transport_taxi,8735,23,28,20,0.95,0.934068055375491,0.7421919291287147,0.9563150513028714,1.0,0.9593812058776513,12299|12212|12710|12383|12844|12608|12553|12213|12329|12161|12121|12905|12244|12745|12558|16797|12377|12779|12716|12159
BatchTopK SAE,20260829,55,recommendation_movies,3765,20,156,20,0.7,0.8812908992306927,0.7518664962588579,0.970581750339213,0.9998580352072687,0.7957424370091557,6621|6892|11990|11633|14444|11920|11812|11862|11871|11600|11987|11861|13181|11634|11858|11695|12104|14994|11733|14608
BatchTopK SAE,20260829,56,iot_coffee,5363,36,55,20,1.0,0.7219280948873623,0.8982614010360739,0.985751098984387,0.9997146118721462,0.8926421740844362,6034|4084|4244|2512|5917|1276|2753|6061|4798|4988|3568|448|4271|2026|3321|5017|2812|6060|2868|4272
BatchTopK SAE,20260829,57,music_query,7309,35,210,20,0.55,0.9709505944546686,0.7099453106348075,0.8851346743948176,0.8770319372729011,0.6707434205156019,1940|2387|3178|5250|1807|4477|4998|761|4428|484|2373|4560|1622|3741|150|4671|3030|1777|1745|5531
BatchTopK SAE,20260829,58,play_podcasts,4943,63,240,20,0.95,0.934068055375491,0.7017734818432361,0.9221785099582002,0.9196767241379311,0.7983177071843499,11459|11539|11376|11474|11259|11409|9361|11296|11345|11458|11270|11438|11368|11470|11467|11505|11279|11318|11460|11418
BatchTopK SAE,20260829,59,lists_query,7103,51,72,20,0.8,0.8112781244591328,0.20388999383169532,0.7201462689978287,0.819743935309973,0.5315004693758225,10760|11107|11075|10805|11172|10588|11081|10957|10684|10851|10577|10868|11426|10858|10979|10954|10927|10936|2684|3603
Blockwise SAE control,20260827,0,datetime_query,1347,88,331,20,0.9,0.4689955935892812,0.5109197843599665,0.8193970959595959,0.6897971014492754,0.6796181236191506,4183|5997|4772|4667|5703|360|3460|5774|3669|1202|1148|6118|2859|3960|47|974|5427|486|2472|4580
Blockwise SAE control,20260827,1,iot_hue_lightchange,1570,36,46,20,0.9,0.0,0.5357688953618657,0.8874393663786568,0.7490401023890785,0.8199531040029822,4803|2975|3542|1960|4826|3386|263|3543|564|3734|897|3050|1217|2551|2542|13069|1511|4299|5026|4247
Blockwise SAE control,20260827,2,transport_ticket,2086,35,44,20,0.6,0.6098403047164004,0.2917291344156409,0.825629535823876,0.8545699583435433,0.7837424304917198,12306|12453|12873|12874|12604|12618|12469|12162|12511|12722|12354|12294|12343|12235|12189|12308|12724|12824|12310|12381
Blockwise SAE control,20260827,3,takeaway_query,1700,35,37,20,0.75,0.0,0.3868158959495829,0.7261604403097753,0.869470605022831,0.7268035658502879,170|2480|132|169|5324|5488|168|3020|171|5552|1379|5406|3021|3295|1247|3835|4224|4048|2908|9971
Blockwise SAE control,20260827,4,qa_stock,1928,26,53,20,1.0,0.934068055375491,0.693315242916779,0.9414448569785075,0.8927039941190884,0.6359330825687795,14090|14253|14189|14820|14342|14473|14874|14555|14475|14406|14926|14644|14925|13754|14544|14190|13639|13734|13934|14130
Blockwise SAE control,20260827,5,general_greet,1946,1,18,18,0.0,0.9182958340544896,0.1550266167251942,0.4969666329625885,0.4991496598639456,,6457|6710|6645|10286|12604|4909|3727|2225|506|13546|10350|540|2472|3205|15155|4154|15208|296
Blockwise SAE control,20260827,6,recommendation_events,2746,43,32,20,0.5,0.28639695711595625,0.17039039306474624,0.6482846352613795,0.6760872978489559,0.5601761399028083,11860|11841|7946|6860|2780|7690|7026|8322|8822|11643|11644|11612|2113|11616|11705|15700|6973|9110|7981|7613
Blockwise SAE control,20260827,7,music_dislikeness,968,4,46,20,0.1,0.8112781244591328,0.024319503111505863,0.745023616734143,0.49957555178268254,,5152|11455|11259|11409|13694|11438|1127|3103|11458|3029|15326|862|9767|10848|2560|7697|3779|9856|14889|7971
Blockwise SAE control,20260827,8,iot_wemo_off,857,18,17,17,0.35294117647058826,0.7871265862012691,-0.0023068350806786393,0.6651224105461393,0.7476615646258504,0.8040423123409681,2566|1551|5652|3298|321|4799|4966|2283|426|10699|15982|4680|3750|5886|4601|14283|4154
Blockwise SAE control,20260827,9,cooking_recipe,2502,72,192,20,0.6,1.0,0.7268862266138372,0.9344018569674647,0.8924137931034484,0.7243210426461559,10150|10099|4544|10164|13043|9940|1516|10100|10097|668|10177|10019|10982|1831|9962|1379|9942|2414|9941|10226
Blockwise SAE control,20260827,10,qa_currency,2607,39,52,20,0.95,0.0,0.8292539699231545,0.9997111116947238,0.9582612456747405,0.8068536170130616,13796|14973|14762|14029|13684|13738|281|13982|14599|13685|14453|14304|13896|14620|14658|14437|13847|14239|13741|13722
Blockwise SAE control,20260827,11,transport_traffic,595,15,26,20,0.65,0.4689955935892812,0.6357238642291247,0.9327463596342702,0.936426116838488,0.9246874182776575,12736|12717|12413|12675|12685|12838|12869|12442|12672|12254|12789|12240|13215|6295|11650|14457|4482|12693|525|12289
Blockwise SAE control,20260827,12,general_quirky,1701,169,355,20,0.2,0.6098403047164004,0.6627016030182938,0.5446852320461026,0.5557040998217468,0.6278459623644834,8916|7314|7570|12392|11322|6305|8029|6516|4606|6515|8782|3253|15214|2315|588|7892|317|8494|7120|6304
Blockwise SAE control,20260827,13,weather_query,638,156,83,20,0.85,0.8812908992306927,0.31536314577845376,0.641996753838859,0.6522457437275986,0.650668491480634,5321|4689|2265|3338|6116|3507|3784|2545|299|4168|1866|333|2917|334|7353|17023|12789|4227|4412|2220
Blockwise SAE control,20260827,14,audio_volume_up,2482,13,54,20,0.1,0.7219280948873623,0.3351009684082262,0.6463751138878042,0.49615384615384617,0.7025024765931421,261|258|2234|15464|13717|9225|8044|6221|1994|6438|13064|6220|9620|5577|751|6055|3329|9629|11600|8767
Blockwise SAE control,20260827,15,email_addcontact,553,12,75,20,0.2,0.0,0.6688138835476686,0.9516801984663958,0.9991496598639457,0.941226052513125,11146|16225|15829|10954|10956|17111|17090|15948|15946|16956|16455|16955|16777|16797|16781|16519|16872|16710|17054|16711
